Category,Name,County,Town,Address,Phone,Hours Of Operation,Operational Notes:,Web Link,Additional Web Link,OpenMaine Changes,Latitude,Longitude,latitude,longitude
Food Pantry,South Portland Food Cupboard,Cumberland,South Portland,"130 Thadeus Street
 South Portland ME 04106",(207)874-0379,1st Wednesday of the month from 5:00 PM - 7:00 PM. Thursdays from 8:30 AM - 11:30 AM.,Drive-thru model with pre-packed boxes,https://www.facebook.com/southportlandfoodcupboard/,http://southportlandfoodcupboard.org/,,,,43.62563571354396,-70.28722853996194
Food Pantry,Southern Maine Agency on Aging,Cumberland,Westbrook,"30 Liza Harmon Drive
 Larrabee Village
 Westbrook ME 04092",(207)854-6833,Temporarily Suspended Operations,Temporarily Suspended Operations,,,,,,43.68168330085412,-70.33588057562471
Food Pantry,Southwest Oxford County Nutrition,Oxford,Brownfield,"701 Pequawket Trail
 Brownfield ME 04010",,"3rd Thursday each month, 12:00 PM - 4:00 PM.",,http://www.socnfoodpantry.org/,,,,,43.94006698251485,-70.88650153872119
Meal Sites,Spectrum Generations - Hallowell,Kennebec,Hallowell,"22 Town Farm Rd
 Hallowell ME 04347",(207)626-7777,"Open Monday - Friday from 7:30 AM - 4:00 PM. Food prep time occurs from 4:00 AM until lunch is finished, (lunch is 11:00 AM - 12:30 PM).","Temporarily suspended in-house dining but have ramped up Meals on Wheels, using employees from other offices to fill volunteer gaps.",,,,,,44.29984138550987,-69.81531370246411
Meal Sites,Spectrum Generations - Waterville,Kennebec,Waterville,"38 Gold St
 Waterville ME 04901",(207)873-4745,"Monday – Friday, 7:30 AM – 4:30 PM.",,,,,,,44.543656069652116,-69.6385804071786
Meal Sites,Springfield Community Chapel Soup Kitchen,Penobscot,Springfield,"62 Park St
 Springfield ME 04487",(207)738-5021,Meals served 2nd and 4th Fridays from 5:30 PM - 6:30 PM. Pantry open Saturdays from 9:00 AM - 10:00 AM.,Established a “proxy” pick-up where neighbors/family members can pick up for others.,,,,,,45.40007940966009,-68.13231997183904
Food Pantry,St. Anne's - Penobscot Nation DHS,Penobscot,Indian Island,"16 Wabanaki Way
 Indian Island, ME 04468",(207)817-3165,"Call for Friday delivery appointment, (10 AM - 1 PM). Elisha: (207)659-0217.",Delivery only.,https://www.penobscotnation.org/departments/social-services/food-pantry,,,,,44.95216500000001,-68.6467395
Meal Sites,St. Anthony's Soup Kitchen,Somerset,Skowhegan,"291 Water St
 Skowhegan ME 04976",(207)474-2039,"Serves towns of Skowhegan, Cornville, Canaan, Norridgewock, and Madison.",Meals to-go.,,,,,,44.768101830283456,-69.71434429682235
Meal Sites,St. Bernard Soup Kitchen,Knox,Rockland,"150 Broadway
 Rockland ME 04841",(207)236-4785,Serving lunch Monday - Friday from 11:30 AM - 12:00 PM.,Meals to-go.,https://www.facebook.com/events/675763233195549/,,,,,44.102732646690484,-69.11792427537618
Food Pantry,St. Charles Food Pantry (CCM),Aroostook,St. Francis,"912 Main Street
 St. Francis ME 04774",(207)834-5656,1st Thursday after the 1st Tuesday from 12:00 PM - 2:00 PM. Also available for emergencies.,Drive thru-model with pre-packed boxes.,,,,,,47.16861188980904,-68.90120847530149
Meal Sites,St. Francis Soup Kitchen,Kennebec,Waterville,"70 Pleasant Street
 Waterville ME 04901",(207)872-2281,Temporarily Suspended Operations until TBD Saturdays 11:30 AM - 12:30 PM.,Temporarily Suspended Operations until TBD,,,,,,44.553595064400646,-69.63413286193652
Food Pantry,St. George Community Cupboard,Knox,Tenants Harbor,"47 Main Street
 Tenants Harbor ME 04860",(207)372-2193,Thursday 2:00 PM - 7:00 PM. Emergency boxes and delivery available.,Drive-thru model with pre-packed boxes. Established a “proxy” pick-up where neighbors/family members can pick up for others. Instituted a drive-through distribution.,https://www.stgeorgecommunity.org/st-george-community-cupboard/,,,,,43.96611248781872,-69.21188223606792
Food Pantry,St. Gerard - Mt Carmel SJ and P (CCM),Aroostook,Grand Isle,"366 Main Street
 Grand Isle ME 04746",(207)728-7531,"1st Saturday after the 1st Tuesday of the month, 9:00 AM - 1:00 PM.",Taking referrals from town office & selectman. Able to do deliveries as needed.,,,,,,47.307741424152304,-68.15458078605941
Food Pantry,St. John's Food Pantry - Corpus Christi Parish,Kennebec,Winslow,"26 Monument St
 Winslow ME 04901",(207)872-2281,Open 3rd Wednesday of the month from 10:30 AM - 12:30 PM.,"Reopening for distribution on April 15th, 2020",,,,,,44.54448162862841,-69.62387396165418
Food Pantry,St. Joseph Food Pantry - Bridgton,Cumberland,Bridgton,"225 South High St
 Bridgton ME 04009",(207)647-2334,4th Tuesday of the month from 11:00 AM - 1:00 PM.,Drive-thru model with pre-packed boxes.,,,,,,44.03848365999202,-70.70957058275117
Food Pantry,St. Joseph Parish Food Pantry - Sinclair (CCM),Aroostook,Sinclair,"413 Shore Rd
 Sinclair ME 04779",(207)543-6073,1st Tuesday of the month from 12 PM - 4:30 PM.,Drive thru-model with pre-packed boxes.,,,,,,47.16566492977096,-68.26703511019097
Food Pantry,St. Louis Ecumenical Food Pantry,Aroostook,Limestone,"100 Main St
 Limestone ME 04750",(207)498-2536,"1st and 3rd Tuesdays from 3:00 PM - 6:00 PM, and 2nd and 4th Tuesdays of the month from 11:00 AM - 2:00 PM.",Drive thru-model with pre-packed boxes.,,,,,,46.905561366639745,-67.82546186006155
Food Pantry,St. Luke's Food Pantry,Cumberland,Portland,"134 Park Street
 Portland ME 04101",(207)772-5434,"Thursdays, 9:30 AM - 11:00 AM.",Drive-thru model in parking lot.,http://stlukesportland.org/index.php/st-lukes-food-pantry/,,,,,43.65290072823048,-70.26398995048741
Food Pantry,St. Mary's Ecumenical Food Pantry - Wells,York,Wells,"236 Eldridge Rd
 Wells ME 04090",(207)646-5605,"Thursdays, 2:30 PM - 5:30 PM.",Drive-thru model with pre-packed boxes,,,,,,43.28923940665901,-70.57881287497827
Food Pantry,St. Mary's Food Pantry,Androscoggin,Lewiston,"208 Bates St
 Lewiston ME 04240",(207)513-3841,Tuesdays and Fridays from 11:00 AM - 2:00 PM.,"Starting 3/16, pre-packed bags will be available for pick-up in the parking lot of the St. Mary’s Nutrition Center and Food Pantry during adjusted hours, Tuesday and Fridays, 11:00 AM – 2:00 PM. Guests will be asked to approach the tables, being mindful of the painted spots on the ground which are spread out at distances of 6 feet, to receive a box of groceries. We also ask that only 12 people at one time be in the parking lot. The Nutrition Center will keep the public updated about changes via social media, our website, and local media. All non-essential programming – cooking, garden, youth, and children’s programs have been temporarily suspended.",https://www.facebook.com/StMarysNutritionCenter/?ref=br_rs,,,,,44.09535600000001,-70.21296
Food Pantry,St. Mary's Food Pantry - Eagle Lake (CCM),Aroostook,Eagle Lake,"3443 Main Street
 Eagle Lake ME 04739",(207)444-5404,"1st Wednesday after 1st Tuesday from 11:00 AM - 2:00 PM. On months when receiving quarterly TEFAP, distribution from 1:00 PM - 3:00 PM. Agency calls patrons prior to distributions to remind them of times. Also provides assistance on an emergency basis.","Giving senior boxes right off the trailer, giving pre-boxed pantry product in parking lot, and will be giving out help to those who need it due to unemployment.",,,,,,47.04073500000004,-68.59365499999996
Food Pantry,St. Mary's Food Pantry - Houlton (CCM),Aroostook,Houlton,"110 Military St
 Houlton ME 04730",(207)532-9122,"Tuesday and Thursday from 8:30 AM - 11:00 AM, by appointment
 .",Instituted a drive-through model,https://www.facebook.com/foodpantryhoulton,,,,,46.124921482110835,-67.82741022453689
Food Pantry,St. Matthew's Food Pantry,York,Limerick,"19 Dora Ln
 Limerick ME 04048",(207)793-2244,"1st Monday of the month from 6:00 PM - 7:00 PM, 1st and 3rd Tuesdays of the month from 10:00 AM - 12 PM, and 2nd Fridays of the month from 10:00 AM - 12:00 PM.",Created appointments to minimize community members’ contact with one another. Drive-thru model with pre-packed bags.,https://stmatthewlimerick.org/food-pantry,,,,,43.6970781601649,-70.78174826389231
Food Pantry,St. Peter Chanel Food Pantry (CCM),Aroostook,Van Buren,"52 Main St
 Van Buren ME 04785",(207)868-5623,Thursday after the last Tuesday of the month from 1:00 PM - 3:00 PM. Also last Wednesday of the month from 6:00 PM - 7:00 PM for frail individuals (by invitation only).,"Pre-packed boxes available. Hours expanded to spread out the number of people at our site at once.
 Set-up a delivery protocol.",,,,,,47.15577142674422,-67.93332272668296
Food Pantry,St. Philip's Church F.P,Lincoln,Wiscasset,"12 Hodge St
 Wiscasset ME 04578",(207)882-7184,Thursday 4:30 PM - 5:30 PM.,Created appointments to minimize community members’ contact with one another. Pre-packed boxes available. Established a “proxy” pick-up where neighbors/family members can pick up for others.,https://www.facebook.com/HelpYourselfShelfFoodPantry/,,,,,44.00523014654623,-69.66680066778228
Meal Sites,St. Theresa Soup Kitchen,Kennebec,Oakland,"47 Church Street
 Oakland ME 04963",(207)872-2281,Temporarily Suspended Operations until end of June Thursdays from 4:00 PM - 5:30 PM.,Temporarily Suspended Operations until end of June,,,,,,44.54450036442857,-69.72104134020964
Food Pantry,St. Thomas Aquinas / St. David Parish,Aroostook,Madawaska,"309 St. Thomas Street
 Madawaska ME 04756",(207)728-7531,"1st and 3rd Wednesdays, 7:00 AM - 11:00 AM. Delivery in emergencies.",Drive thru-model with pre-packed boxes.,,,,,,47.3549021046224,-68.32806949515256
Meal Sites,St. Vincent De Paul Soup Kitchen,Cumberland,Portland,"307 Congress Street
 Portland ME 04101",(207)772-1113,"Monday - Friday, 11:00 AM - 12:30 PM.",Meals to-go.,https://portlandcatholic.org/st-vincent-de-paul-soup-kitchen,,,,,43.661439,-70.25390999999999
Food Pantry,Standish Food Pantry,Cumberland,Standish,"175 Northeast Road
 Standish ME 04084",(207)358-0359,"Mondays from 9:30 AM - 10:30 AM, and Wednesdays 5:00 PM - 6:30 PM.",Temporary relocation to the Standish Congregational Church at 25 Oak Hill Rd in Standish. Drive thru-model with pre-packed boxes. Their number is (207)358-0359 and their website will have updates: www.standishfoodpantry.org.,https://www.facebook.com/StandishFOODPantry/,http://www.standishfoodpantry.org/,,,,43.745223315511964,-70.54109535270395
Food Pantry,Starks Food Cupboard,Somerset,Starks,"2 Chicken Street
 Starks ME 04911",(207)696-4337,1st and 3rd Wednesdays from 10 AM - 12 PM.,,,,,,,44.7302770740575,-69.96456984997451
Meal Sites,Steep Falls Country Church Soup Kitchen,Cumberland,Steep Falls,"35 Main Street
 Steep Falls ME 04085",(207)229-3289,Wednesdays from 4:30 PM - 6:00 PM.,Meals to-go.,https://www.facebook.com/SteepFallsCountryChurch/,http://steepfallsbaptistchurch.yolasite.com/,,,,43.79173271583857,-70.65563476907268
Food Pantry,Stone Soup Food Pantry,York,Biddeford,"180 Main Street, Lower Level
 Biddeford ME 04005",(207)298-0597,"Monday and Wednesday from 10:00 AM - 11:30 AM, open at 7:00 AM for coffee and socialization.",Giving away pre-packed boxes keeping space for social distancing.,https://www.facebook.com/pages/Stone-Soup-Food-Pantry/134064199979428,,,,,43.49341658479998,-70.45553900652087
Food Pantry,Stratton-Eustis Food Pantry,Franklin,Stratton,"88 Main St
 Stratton ME 04982",(207)246-7656,Open every 3rd Friday of the month from 9:00 AM - 12:00 PM.,Pre-packed boxes are available for pick-up via appointment. Boxes will be placed in the vehicle. Walk-in clients are allowed in the building one at a time.,,,,,,45.1401386128167,-70.43720481709849
Food Pantry,Stroudwater Christian Church Food Pantry,Cumberland,Portland,"1520 Westbrook Street
 Portland ME 04102",(207) 200-5985,"Sundays, 1:00 PM - 3:00 PM.","Drive thru model with pre-packed boxes. If home deliveries are needed, please email stroudwaterfoodpantry@gmail.com. For updates, visit their website at: www.stroudwaterfoodpantry.com or their Facebook: Stroudwater Food Pantry.",https://www.facebook.com/stroudwaterfoodpantry/,http://www.stroudwater.org/our-ministries/food-pantry/?view=mobile,,,,43.66192923368351,-70.32153504149115
Food Pantry,Sumner Food Bank,Oxford,Sumner,"50 Main Street
 Sumner ME 04292",(207)388-2610,"1st and 3rd Mondays, 9:00 AM - 12:00 PM.","Drive-thru model. Established a “proxy” pick-up where neighbors/family members can pick up for others.
 Posted shopping list online for customers to complete and allow us to provide what they want and not a generic box.",,,,,,44.35697174049284,-70.37928308021235
Food Pantry,Sweden Food Pantry,Oxford,Sweden,"137 Bridgton Road -Route 93
 Sweden ME 04040",(207)647-5735,"1st and 3rd Wednesdays, 11:00 AM - 1:00 PM.",Drive-thru model with pre-packed boxes,https://www.facebook.com/foodpantries/,,,,,44.1298880513188,-70.80334517366198
Meal Sites,The Open Door,Waldo,Unity,"32 School St. / Community Center
 Unity ME 04988",(207)948-6232,Thursdays from 11:30 AM - 12:30 PM.,Meals to-go.,,,,,,44.61149368942237,-69.33563315820301
Food Pantry,Thomaston Inter-Church Fellowship Food Pantry,Knox,Thomaston,"13 Valley Street 
 Thomaston ME 04861",(207)354-6004,Tuesday and Thursday from 9:00 AM - 11:00 AM.,Pre-packed boxes. Only letting one person in at a time to pick-up food. Volunteers using face masks and gloves and doing regular sanitizing.,http://thomastonfoodpantry.org/,,,,,44.07942372277654,-69.18532994171619
Food Pantry,Town of Danforth Food Pantry,Washington,Danforth,"62 Depot St
 Danforth ME 04424",(207)521-5008,"1st Thursday after the 1st Wednesday, 10:00 AM - 11:00 AM.",Already operated as a drive-through pantry with prepacked boxes. Only change is they will now load cars so community members don't even get out.,,,,,,45.65822659838997,-67.86757126311386
Food Pantry,Town of Haynesville Food Pantry,Aroostook,Haynesville,"16 Danforth Road
 Haynesville ME 04497",(207) 448-2239,"Tuesdays, Wednesdays and Thursdays from 7:00 AM - 2:30 PM, by appointment.",Maintaining choice model but only one family allowed in the pantry at a time. Will deliver to at-risk individuals if needed.,,,,,,45.82518804968548,-67.98752608782974
Food Pantry,Tree of Life Food Pantry,Hancock,Blue Hill,"23 South St
 Blue Hill ME 04614",(207)374-2900,"Thursdays, 8:30 AM - 3:00 PM.",Drive thru-model with pre-packed boxes.,https://www.facebook.com/Treeoflifepantry/,,,,,44.40666831916877,-68.59591801535824
Food Pantry,Tri - Town Baptist Food Pantry,Penobscot,East Millinocket,"8 Cone Street
 East Millinocket ME 04430",(207)746-2211,3rd Saturday of the month from 9:00 AM - 12:00 PM.,Friday distributions cancelled until further notice. Drive up distribution implemented and will deliver on emergency basis.,https://www.facebook.com/Tri-Town-Baptist-Church-156402417736776/,,,,,45.62863200000001,-68.5812195
Food Pantry,Tri - Town Food Cupboard - Hartland,Somerset,Hartland,"9A Hubbard Ave
 Hartland ME 04943",(207)938-3283,"Wednesdays, 9:30 AM - 11:30 AM.",,https://www.facebook.com/groups/613903552358462/,,,,,44.88336428286738,-69.4497500525246
Food Pantry,Tri - Town Ministerial Food Cupboard,Franklin,Jay,"1 Church St.
 Jay ME 04239",(207)897-3529,"Tuesdays, Wednesdays, and Thursdays from 2:00 AM - 4:00 PM, and Tuesday from 6:00 PM - 8:00 PM.","Wiping down all common areas, (door knobs, etc.), with disinfectant. Making sure clients maintain social distancing.",,,,,,44.47928466388715,-70.19592576089215
Food Pantry,Trinity Evangelical Free Church Food Pantry,Somerset,Skowhegan,"12 McClellan Street, Skowhegan Maine",(207)474-8833,"Mondays, Wednesdays, and Fridays from 10:00 AM - 4:00 PM.",Operating as usual.,,,,,,44.758515855127214,-69.72418796459702
Food Pantry,Trinity Jubilee Center,Androscoggin,Lewiston,"247 Bates St
 Lewiston ME 04240",(207)782-5700,Regular meal times (Monday- Saturday at 11:00 AM). Food pantry distributions will also be held in our courtyard with shortened hours (Thursdays 7:45 AM - 10:30 AM instead of 7:45 AM - 12:00 PM).,"Starting 3/23, all meals will be served to-go and sit-down lunches will be suspended. Guests will line up in the courtyard and carts of wrapped meals will be brought outside at the regular meal times (Monday-Saturday at 11:00 AM). Guests are encouraged to take their meals and leave. 
 Food pantry distributions will be held in the courtyard with shortened hours (Thursdays 7:45 AM -10:45 AM instead of 7:45 AM - 12:00 PM) to accommodate the soup kitchen lunch distribution that begins at 11:00 AM. Guests are encouraged to take their groceries and leave. All of our other programs are still operating at this time.",https://www.facebook.com/trinityjubileecenter/,,,,,44.09396100000001,-70.212789
Food Pantry,Turner Food Bank,Androscoggin,Turner,"96 Howes Corner Rd
 Turner ME 04282",(207)395-5256,"Open 2nd and 4th Wednesday of the month from 1:00 PM - 3:00 PM for Seniors, and 5:00 PM - 7:00 PM for all others.",Clients will select available food from a pre-made list and pantry volunteers will bring out groceries to their car. Clients are not allowed in the building. Volunteers will wear gloves and wipe carts down. There are 5 carts to use. Our Seniors and anyone who needs help come in the afternoon and others from 5:00 PM - 7:00 PM.,,,,,,44.340678762450025,-70.24821608076061
Food Pantry,UMC - Wilton Area Food Pantry,Franklin,Wilton,"600 Main St
 Wilton ME 04294",(207)645-4885,*Only open 1 day with new protocols. To be determined.,Drive thru-model with pre-packed boxes. Established a “proxy” pick-up where neighbors/family members can pick up for others.,,,,,,44.59076418512322,-70.22906884194121
Food Pantry,UMC Ecumenical Food Cupboard - Milo,Piscataquis,Milo,"15 Park St
 Milo ME 04463",(207)965-5125,"Open Thursdays, 10:00 AM - 1:00 PM
 .",Pre-packed boxes and allowing one family at a time into the pantry. Will deliver to high-risk individuals as requested.,https://www.facebook.com/Ecumenical-Food-Cupboard-Milo-and-Surrounding-Area-965-5125-373957226356884/,,,,,45.25459027116395,-68.98655421397665
Food Pantry,United Baptist Food Pantry,Aroostook,Caribou,"74 High St
 Caribou ME 04736",(207)496-7881,"Wednesdays, 7:30 AM - 11:00 AM.",Already pre-box product; no changes to distribution at this time.,,,,,,46.86062648211083,-68.00953122300767
Food Pantry,United Methodist Economic Ministry,Franklin,Salem,"1458 Salem Rd
 Salem ME 04983",(207)678-2611,"Open Tuesday and Thursday from 1:00 PM - 4:00 PM, and Saturday 10:00 AM - 11:00 AM.",Created appointments to minimize community members’ contact with one another. Pre-packed boxes available for pick-up. Established a “proxy” pick-up where neighbors/family members can pick up for others. Expanded our hours to spread out the number of people at our site at once.,https://www.facebook.com/umeconomicministry/,,,,,44.90337163113856,-70.26361476089215
Food Pantry,United Methodist Good Fellowship - Naples FP,Cumberland,Naples,"1000 Roosevelt Trl
 Naples ME 04055",(207)653-6449,"Open Tuesdays, 10:00 AM - 11:30 AM.",Drive-thru model with pre-packed boxes,,,,,,43.97101062779431,-70.60913528928518
Food Pantry,UUC Sangerville Food Pantry,Piscataquis,Sangerville,"1 Church Street
 Sangerville ME 04479",(207)876-4926,Open 1st and 3rd Wednesdays of the month.,,https://www.facebook.com/First-Universalist-Church-of-Sangerville-Dover-Foxcroft-130890050306834/,,,,,45.166234710858234,-69.3579928280036
Food Pantry,UVEC Food Pantry,Aroostook,Sherman,"36 School Street, Suite #4
 Sherman ME 04776",(207)365-7631,2nd Tuesday of the month from 9:00 AM - 1:00 PM. Available for emergencies.,To be determined.,http://www.uvecfoodpantry.org/uvec_food_pantry.aspx,,,,,53.01209000000006,-3.061339999999973
Food Pantry,Vassalboro Food Station Pantry,Kennebec,North Vassalboro,"679 Main St (Rt 32)
 N. Vassalboro ME 04989",(207)873-7375,"Thursdays, 9:15 AM - 12:00 PM.",,https://www.facebook.com/VassalboroFoodStationPantry/,,,,,44.470033246737984,-69.61577717434415
Food Pantry,VCF - Bread of Life Food Pantry,Androscoggin,Mechanic Falls,"90 Lewiston St
 Mechanic Falls ME 04256",(207)345-9501,2nd Tuesday of the month from 9:00 AM - 11:30 AM.,Practicing social distancing with a drive thru distribution with prepackaged boxes. Please arrive AFTER 8 AM. You will be asked to stay in your vehicles and we will place the box in your trunk or back seat and you will be free to go.,,,,,,44.109602641987266,-70.38187404356863
Meal Sites,VCF - Bread of Life Soup Kitchen,Androscoggin,Mechanic Falls,"90 Lewiston St
 Mechanic Falls ME 04256",(207)345-9501,Temporarily Suspended Operations,Temporarily Suspended Operations,,,,,,44.109602641987266,-70.38187404356863
Food Pantry,Vinalhaven Food Pantry,Knox,Vinalhaven,"25 E Main St
 Vinalhaven ME 04863",(207)863-2001,"Wednesday, April 8, from 1:00 PM - 3:00 PM.",Pre-packed boxes,https://www.facebook.com/groups/287883772998/,,,,,44.04870337494962,-68.83035914556528
Food Pantry,Vineyard Church of Greater Portland,Cumberland,Westbrook,"715 Bridgton Rd
 Westbrook ME 04092",(207)854-8339,Fridays 5:45 PM - 6:30 PM,Drive-thru model with pre-packed boxes.,https://www.facebook.com/vineyardchurchofgreaterportland/,https://vineyardportland.org/,,,,43.72495156898829,-70.34115438395199
Food Pantry,Volunteer Regional Food Pantry,Waldo,Unity,"180 Depot St
 Unity ME 04988",(207)487-1199,3rd Saturday of month from 6:00 AM - 7:30 AM.,Drive-thru model,https://www.facebook.com/VolunteerRegionalFoodPantry/,,,,,44.6144578842691,-69.32338942284606
Food Pantry,Waldoboro Food Pantry,Lincoln,Waldoboro,"Waldoboro Fire Department/1600 Atlantic Highway
 Waldoboro ME 04572",(207)785-4782,Tuesday from 12:30 PM - 3:00 PM.,Pre-packed boxes,https://www.facebook.com/events/280241082962326/,,,,,44.102238379969926,-69.37889370635925
Food Pantry,Wales Presbyterian Church FP,Androscoggin,Wales,"688 Pond Rd.
 Wales, ME 04280",,"1st and 3rd Thursdays of the month, 1:30 PM - 3:30 PM, or by appointment.",,https://www.maine.gov/dacf/ard/tefap/Androscoggin.shtml,,,,,44.18028735388645,-70.06785737748844
Food Pantry,Washington Food Bank,Knox,Washington,"33 Liberty Rd
 Washington ME 04574",(207)409-9247,"Wednesday, 8:00 AM - 10:00 AM.","Pre-packed boxes, pre-bagged produce, curbside delivery. Call to give permission for proxy pickup. Delivery available.",https://www.facebook.com/Washington-Food-Bank-1634001549967193/,,,,,44.27632800000001,-69.3675945
Food Pantry,Waterboro Community Food Pantry,York,Waterboro,"26 Townhouse Road
 Waterboro ME 04030",(207)247-7789,1st Tuesday of the month from 4:00 PM - 7:00 PM. All other Tuesdays 1:00 PM - 4:00 PM.,"Wearing gloves and masks and using hand sanitizer, otherwise serving as usual.",https://www.facebook.com/WaterboroCommunityPantry/,,,,,43.5906213824801,-70.70712512060699
Food Pantry,Westbrook Community Food and Resource Center,Cumberland,Westbrook,"426 Bridge Street
 Westbrook ME 04092",(207)591-8147,"1st and 3rd Tuesdays, 11:00 AM - 2:00 PM.",Curbside pickup with pre-packed bags.,https://www.facebook.com/Westbrook-Community-Food-and-Resource-Center-125687720854831/,http://westbrookfoodpantry.org/,,,,43.69170909212893,-70.35898886580208
Food Pantry,Westport Island Helping Hands,Lincoln,Westport Island,"38 Ferry Road
 Westport Island ME 04578",(207)882-8477,Delivery and by appointment.,Delivery and appointment.,,,,,,43.95826547515728,-69.68302620690753
Food Pantry,What's For Suppa? Food Pantry,Hancock,Mariaville,"1675 Mariaville Road
 Mariaville ME 04605",(207)537-3412,"1st and 3rd Wednesdays of the month, 12:00 PM - 2:00 PM. Two people allowed in the pantry at one time to select groceries. Delivery service may be available based on a need assessment.",,,,,,,44.69760760698834,-68.41418117288953
Food Pantry,White Memorial Seventh Day Adventist Church,Cumberland,Portland,"97 Allen Ave
 Portland ME 04103",(207)838-3123,"Thursdays, 7:30 AM - 9:00 AM.",Drive-thru model with pre-packed boxes.,https://whitememorialme.adventistchurch.org/ministries,,,,,43.691958,-70.2924615
Food Pantry,Whitefield Food Pantry,Lincoln,Whitefield,"298 Grand Army Rd
 Across from the Catholic Church
 Whitefield ME 04353",(207)623-8823,"1st Friday of the month from 10:00 AM - 3:00 PM, Saturdays 10:00 AM - 12:00 PM. Emergency boxes available.","Expanded hours to spread out the number of people on site at once.
 Will deliver boxes to cars if people do not want to come in.",https://www.facebook.com/whitefieldfoodpantry/,,,,,44.228716890357276,-69.61316613087877
Food Pantry,Widows and Orphans Food Cupboard,Penobscot,Stetson,"13 Wolfboro Rd
 Stetson ME 04488",(207) 296-3503,"Fridays, 6:00 PM - 6:30 PM. 1st and 3rd Saturdays of the month from 8:30 AM - 9:30 AM.",Drive-up with paper menu to choose; volunteers will build boxes.,,,,,,44.8933236094808,-69.13846704596143
Food Pantry,Windham Food Pantry,Cumberland,Windham,"377 Gray Road
 Windham ME 04062",(207)892-1931,"By appointment. Monday - Thursday from 8:30 AM - 4:00 PM. First Monday of the month is Seniors only, 10:00 AM - 12:00 PM, (Ages 62 and older).","By appointment. Guests order from waiting room, volunteers pack bag for them.",https://www.facebook.com/pages/Town-of-Windham-Clothes-ClosetFood-Pantry/162465067114958,https://www.windhammaine.us/Facilities/Facility/Details/Food-Pantry-2?mobile=ON,,,,43.78050451814899,-70.4151398292462
Food Pantry,Windsor Food Bank,Kennebec,Windsor,"523 Ridge Rd
 Windsor ME 04363",(207)485-2414,1st and 3rd Wednesdays of the month from 5:00 PM - 7:00 PM.,Operating same days just decreased hours. Phone set up for anyone in need.,,,,,,44.31155377990652,-69.58127365805878
Food Pantry,Winslow Community Cupboard,Kennebec,Winslow,"12 Lithgow St, 
 Winslow ME 04901",(207)402-7947,2nd and 4th Thursdays from 12:00 PM - 3:00 PM and 5:00 PM - 7:00 PM.,,,,,,,44.53723132858237,-69.63285277433793
Food Pantry,Winthrop Food Pantry,Kennebec,Winthrop,"25A High St
 Winthrop ME 04364",(207)377-3332,"Open every Thursday from 1:00 PM - 2:30 PM, and the 2nd and 4th Thursday from 5:00 PM - 6:30 PM.",Drive-thru model with pre-packed boxes,https://www.facebook.com/WinthropFoodPantry/,,,,,44.30608499823736,-69.97935311806441
Meal Sites,Winthrop Hot Meal Kitchen Inc,Kennebec,Winthrop,"130 Rt. 133 
 Winthrop ME 04364",(207)377-2311,"Monday - Friday from 10:30 AM - 12:30 PM, from Labor Day through Memorial Day.",Meals to-go.,https://www.facebook.com/winthrophotmealkitchen/,,,,,44.30667600000001,-69.97739849999999
Food Pantry,Wiscasset Nazarene Outreach,Lincoln,Wiscasset,"255 Gardiner Rd
 Wiscasset ME 04578",(207)882-9088,Sunday from 12:00 PM - 12:30 PM.,Drive through delivery. Emergency boxes available. Individuals from Lincoln County are welcome.,https://www.facebook.com/helpfeedme/?__tn__=kC-R&eid=ARDEj51OG0_7snGyGJixdyKMlNuFP9u2ARRijq-umc9047i81uQHzHTBhdCO8VBtvJG7b99hMgpksxX_&hc_ref=ARQseV7ojxC1zxxe3LHfXRljLW5XJSSq7eg14LFtYp2B0hf66J0pkwJUaG9tDmo6_QQ&fref=nf&__xts__[0]=68.ARDHxnHnjFng8zenWjg9nsmt8d7zCZauUwnWc9k7c6yFNxXo-OVL_b3nT_iI-M5UO0lXJfPtugr31BQoKMx7tJ-eXXdYjt2XjYEmBdRZKA8y9cJMwoQXPIycQUWmcxZLBqeAHqfcludAaL5FoP5OLrNvn-zNeYCYSL8adMIUMjIe14_7kwK4GNkAvcIrbkNSefxL2PI3-D2ASoo8QzPo0kZ2S1TgteTHBUJCHrN9nVzoEmIco62NP-7c9X_L6TZxWZOHGOeUY_qgtKEH-jfrhLVDG-ftbtwDlWI_4gslxpmQgQYnPCuM9XyZQli_zIqfLznjWFePW_h2D1L5mA197kD3,,,,,44.02282601590086,-69.66971142442246
Food Pantry,Woodstock Food Pantry,Oxford,Bryant Pond,"25 Perkins Valley Rd
 Bryant Pond ME 04219",(207)393-7458,3rd Tuesday of the month from 1:00 PM - 3:00 PM.,Pre-packed boxes,https://www.facebook.com/woodstockfoodpantry/,,,,,44.36081517040803,-70.55141492604871
Food Pantry,Wytopitlock Food Pantry,Aroostook,Wytopitlock,"10 Springer Rd
 Wytopitlock ME 04497",(207)456-7546,1st Wednesdays and Thursdays after 2nd Tuesday from 11:00 AM - 12:00 PM and 6:00 PM - 7:00 PM.,Established a “proxy” pick-up where neighbors/family members can pick up for others.,,https://ycan.info/food-support/,,,,45.64090159150811,-68.07852559761733
